tipo,discriminacao,url,formato,url_norm,domain,is_pdf,expected_content_type,parser_hint,priority_bucket
Leis e Legislação,"LEI Nº 14.192, DE 4 DE AGOSTO DE 2021",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14192.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14192.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"DECRETO Nº 7.958, DE 13 DE MARÇO DE 2013",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d7958.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d7958.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 13.931, DE 10 DE DEZEMBRO DE 2019",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13931.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13931.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 13.882, DE 8 DE OUTUBRO DE 2019",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13882.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13882.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.188, DE 28 DE JULHO DE 2021",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14188.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14188.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.310, DE 8 DE MARÇO DE 2022",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14310.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14310.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.899, DE 17 DE JUNHO DE 2024",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14899.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14899.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.994, DE 9 DE OUTUBRO DE 2024",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14994.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14994.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.540, DE 3 DE ABRIL DE 2023",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14540.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14540.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.786, DE 28 DE DEZEMBRO DE 2023",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14786.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14786.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.713, DE 30 DE OUTUBRO DE 2023",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14713.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14713.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.847, DE 25 DE ABRIL DE 2024",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/L14847.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/L14847.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"Regulamenta o Protocolo relativo à investigação de
crimes de violência doméstica",https://www.pjc.mt.gov.br/documents/18244709/69710255/RESOLU%C3%87%C3%83O%20116.pdf/0659523e-8177-f92e-a560-f030518db6b5,pdf,https://www.pjc.mt.gov.br/documents/18244709/69710255/RESOLU%C3%87%C3%83O%20116.pdf/0659523e-8177-f92e-a560-f030518db6b5,www.pjc.mt.gov.br,True,application/pdf,pdf_text_pymupdf,B
Artigo,"Direitos, responsabilidades e serviços para enfrentar a violência Direitos, responsabilidades e serviços para enfrentar a violência",https://dossies.agenciapatriciagalvao.org.br/violencia/violencias/acoes-direitos-e-servicos-para-enfrentar-a-violencia/,html,https://dossies.agenciapatriciagalvao.org.br/violencia/violencias/acoes-direitos-e-servicos-para-enfrentar-a-violencia,dossies.agenciapatriciagalvao.org.br,False,text/html,html_readability,C
